DEPARTURE_ARRIVAL_DURATION,ARRIVAL_DEPARTURE_DURATION,STOPOVERS,VESSEL_TYPE,HULL_MATERIAL,VESSEL_LENGTH,VESSEL_BEAN,VESSEL_DRAFT,VESSEL_DEPTH,MOTOR_POWER,SPEED,NUM_PROPELLERS,NUM_GENERATORS,TPB,LIGHT_DISPLACEMENT,CREW,PASS_CAPACITY,LOAD_CAPACITY,FUEL_CONSUMPTION
4019.0,2880.0,2,PASSENGER/GENERAL_LOAD,WOOD,28.0,7.0,1.9,2.5,380.0,15.0,1,2.0,,,7,120.0,120.0,5000.0
21600.0,21600.0,3,PASSENGER/GENERAL_LOAD,WOOD,23.0,4.0,2.0,2.9,200.0,12.0,2,2.0,,,3,100.0,400.0,700.0
32400.0,28800.0,0,FLAT_BOTTOMED_BOAT,WOOD,26.0,7.2,2.1,2.35,480.0,14.0,1,1.0,,,5,96.0,45.0,1200.0
1440.0,1440.0,1,PASSENGER/GENERAL_LOAD,WOOD,22.0,5.5,1.5,1.7,315.0,10.0,2,2.0,,,3,50.0,40.0,3400.0
32400.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,26.2,6.41,1.6,2.25,550.0,12.0,1,1.0,,,2,100.0,60.0,1000.0
64800.0,54000.0,0,PASSENGER/GENERAL_LOAD,WOOD,22.0,5.0,1.8,2.8,210.0,13.0,2,2.0,,,3,55.0,60.0,1300.0
14340.0,12813.0,1,PASSENGER/GENERAL_LOAD,WOOD,24.0,6.0,2.5,3.0,315.0,12.0,2,1.0,,,7,70.0,100.0,14000.0
43200.0,43200.0,4,PASSENGER/GENERAL_LOAD,WOOD,20.0,7.0,1.2,1.9,160.0,12.0,1,1.0,,,3,64.0,35.0,800.0
28800.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,25.0,7.0,1.8,1.9,360.0,13.0,2,3.0,,,4,134.0,90.0,800.0
540.0,420.0,0,PASSENGER/GENERAL_LOAD,WOOD,22.8,5.8,1.8,2.3,200.0,13.0,1,2.0,,,3,96.0,70.0,750.0
180.0,180.0,2,MOTORBOAT,ALUMINIUM,17.0,3.1,1.2,2.0,550.0,28.0,2,1.0,,,2,59.0,0.0,600.0
7200.0,7200.0,0,FLAT_BOTTOMED_BOAT,WOOD,37.49,9.3,2.33,2.8,600.0,18.0,1,1.0,,,8,100.0,140.0,10000.0
7200.0,7200.0,0,MOTORBOAT,ALUMINIUM,18.0,4.0,1.2,1.5,450.0,20.0,1,2.0,,,4,66.0,0.0,250.0
120.0,120.0,3,MOTORBOAT,ALUMINIUM,17.2,3.85,1.0,1.3,250.0,25.0,1,1.0,,,2,70.0,0.0,300.0
32400.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,10.0,3.0,1.5,2.0,130.0,12.0,1,0.0,,,2,42.0,0.0,1000.0
7200.0,7200.0,0,PASSENGERS,ALUMINIUM,18.0,3.6,1.3,1.6,215.0,14.0,2,1.0,,,2,85.0,40.0,400.0
14400.0,14400.0,0,MOTORBOAT,ALUMINIUM,15.6,3.0,1.2,1.6,290.0,20.0,2,1.0,,,3,50.0,0.0,400.0
7200.0,7200.0,0,PASSENGER/GENERAL_LOAD,WOOD,24.0,6.0,1.9,2.4,190.0,16.0,1,1.0,,,3,80.0,56.0,400.0
61200.0,1020.0,0,PASSENGER/GENERAL_LOAD,NAVAL_STEEL,30.0,10.0,2.0,3.2,477.0,14.0,2,2.0,,,6,311.0,240.0,3200.0
3600.0,3600.0,0,MOTORBOAT,ALUMINIUM,16.0,6.0,0.9,1.2,400.0,30.0,1,1.0,,,1,56.0,0.0,400.0
7200.0,7200.0,0,PASSENGERS,ALUMINIUM,17.0,3.0,1.1,1.6,250.0,15.0,1,1.0,,,2,60.0,30.0,400.0
10800.0,10800.0,0,PASSENGER/GENERAL_LOAD,WOOD,40.0,10.0,2.8,3.6,200.0,15.0,2,2.0,,,4,80.0,40.0,500.0
2880.0,2160.0,1,PASSENGER/GENERAL_LOAD,WOOD,20.0,5.0,1.8,2.5,160.0,17.0,1,1.0,,,3,85.0,50.0,4400.0
10800.0,10800.0,5,MOTORBOAT,ALUMINIUM,21.1,3.1,1.0,1.2,552.0,15.0,2,0.0,,,2,64.0,0.0,250.0
28800.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,24.0,6.0,2.15,2.8,315.0,15.0,3,2.0,,,3,88.0,34.0,800.0
28800.0,28800.0,0,PASSENGER/GENERAL_LOAD,WOOD,22.7,6.1,1.8,2.6,160.0,10.0,1,2.0,,,3,67.0,40.0,400.0
