Name,MAE,RMSE,MAPE,SMAPE
10_15,9.369,11.844,9.2,9.2
10_16,4.962,5.87,18.6,17.4
10_17,4.323,5.598,11.5,11.200000000000001
10_18,7.561,9.204,8.1,8.0
10_19,6.769,8.096,15.5,14.7
10_20,6.389,8.033,12.3,11.899999999999999
10_21,5.687,7.146,12.6,12.3
10_22,7.789,10.014,8.6,8.6
10_23,4.752,5.934,14.499999999999998,14.099999999999998
10_24,7.408,10.114,9.4,9.8
10_25,9.711,11.949,11.200000000000001,11.0
10_26,7.019,8.953,14.6,13.4
10_27,3.996,4.98,15.7,15.6
10_28,8.247,10.412,8.200000000000001,8.200000000000001
10_29,8.511,10.639,11.0,10.6
10_30,5.465,6.999,12.3,11.799999999999999
10_31,6.985,8.813,11.3,10.7
10_32,5.629,7.29,11.700000000000001,11.4
10_33,8.028,9.951,10.4,10.100000000000001
10_34,3.827,4.868,14.299999999999999,13.4
10_35,7.041,8.819,9.4,9.6
10_36,7.898,9.93,8.9,8.9
10_37,4.556,5.617,13.5,13.5
10_38,8.771,11.204,9.3,9.5
10_39,6.622,8.33,13.100000000000001,13.100000000000001
10_40,5.015,6.345,15.5,15.1
10_41,3.629,4.671,14.7,14.2
10_42,5.165,6.476,13.3,12.5
10_43,6.926,8.5,11.700000000000001,11.4
10_44,4.344,5.524,12.9,12.8
10_45,9.302,11.578,10.5,10.2
10_46,7.598,9.77,11.600000000000001,11.200000000000001
10_47,4.513,5.749,19.400000000000002,17.8
10_48,6.703,8.471,11.600000000000001,11.4
10_49,4.702,6.25,16.8,15.0
10_50,7.23,9.025,9.9,9.700000000000001
